nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,observacao,confianca
NATL INST HLTH & NUTR,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute Health & NUTR,Não cadastrar como instituição de ensino principal.,Alta
IBM Corp,mover_para_organizacoes,organizacoes,Empresa privada,IBM Corporation,Não é universidade.,Alta
Alibaba,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Alibaba,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Japan Fisheries Res & Educ Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Japan Fisheries Research & Educ Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Environm Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Environment Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Global Alliance Hlth & Pollut,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Global Alliance Health & Pollut,Não cadastrar como instituição de ensino principal.,Alta
Syngenta Crop Protect,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Syngenta Crop Protect,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Agr & Cooperat,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Agricultural & Cooperat,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Software Competence Ctr Hagenberg GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Software Competence Center Hagenberg GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Efal Agri Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Efal Agri Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Chongqing Gen Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Chongqing Gen Hospital,Não cadastrar como instituição de ensino principal.,Alta
Recruit Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Recruit Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Yashoda Super Special Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Yashoda Super Special Hospital,Não cadastrar como instituição de ensino principal.,Alta
Inst Hlth Econ & Technol,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Institute Health Econ & Technology,Não cadastrar como instituição de ensino principal.,Alta
Jilin Haicheng Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Jilin Haicheng Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Norwegian Inst Publ Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Norwegian Institute Publ Health,Não cadastrar como instituição de ensino principal.,Alta
City Hope Natl Med Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,City Hope National Med Center,Não cadastrar como instituição de ensino principal.,Alta
Govt Gujarat,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Gujarat,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Govt Nepal,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Nepal,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
IBM Co,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM Co,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tech Partner Cumulus Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Technology Partner Cumulus Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Wageningen Plant Sci Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Wageningen Plant Science Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
It Oobjects GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,It Oobjects GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Clin Hosp Merkur,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Clin Hospital Merkur,Não cadastrar como instituição de ensino principal.,Alta
Local Hlth Unit Author,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Local Health Unit Author,Não cadastrar como instituição de ensino principal.,Alta
Hunan Ulitech Automat Syst Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hunan Ulitech Automat Syst Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Hlth & Family Welf,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Health & Family Welf,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
D N Govt Coll,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,D N Govt College,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Calif Dept Fish & Wildlife,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Calif Department Fish & Wildlife,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Beijing Engn Res Ctr Intelligent Syst & Technol,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beijing Engineering Research Center Intelligent Syst & Technology,Padrão de empresa privada ou centro de P&D corporativo.,Alta
USDA APHIS PPQ CPHST,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,USDA APHIS PPQ CPHST,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
fFarmB Digital Agr SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,fFarmB Digital Agricultural SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Interuniv Dept Reg & Urban Studies & Planning,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Interuniv Department Reg & Urban Studies & Planning,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Univ Perpetual Help Syst DALTA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,University Perpetual Help Syst DALTA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tecnet Equ Technol Beteilungs Invest GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tecnet Equ Technology Beteilungs Invest GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
IBM Res Europe,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM Research Europe,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Makita Gen Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Makita Gen Hospital,Não cadastrar como instituição de ensino principal.,Alta
Widhoc Smart Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Widhoc Smart Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
H&N Int GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,H&N Int GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Maryland Dept Nat Resources,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Maryland Department Nat Resources,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Microsoft Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Microsoft Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CEQU Labs Private Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CEQU Labs Private Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Govt Uttar Pradesh,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Uttar Pradesh,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ramsay Hlth Care,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Ramsay Health Care,Não cadastrar como instituição de ensino principal.,Alta
Anim Hlth ETT Ra,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Anim Health ETT Ra,Não cadastrar como instituição de ensino principal.,Alta
AniEye Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AniEye Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
STMicroelectronics Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,STMicroelectronics Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Yttrium Technol Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Yttrium Technology Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
FR Analyt BV,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,FR Analyt BV,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Business Syst SRM Inst Sci & Technol,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Business Syst SRM Institute Science & Technology,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Yamaha Motor Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Yamaha Motor Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CRESCENT Advising LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CRESCENT Advising LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
SRIT India Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SRIT India Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
NRS Med Coll & Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,NRS Med College & Hospital,Não cadastrar como instituição de ensino principal.,Alta
NSW Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,NSW Health,Não cadastrar como instituição de ensino principal.,Alta
CHN Energy Hebei Dingzhou Power Generat Co LTD,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CHN Energy Hebei Dingzhou Power Generat Co LTD,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Saudi Goody Prod Mkt Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Saudi Goody Prod Mkt Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Chemitec Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Chemitec Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Otolaryngol,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Otolaryngol,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Queensland Dept Primary Ind,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Queensland Department Primary Ind,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Natl Hlth Res Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Health Research Institute,Não cadastrar como instituição de ensino principal.,Alta
Highlands Rewilding Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Highlands Rewilding Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
InnerEye Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,InnerEye Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
RL Innovat Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,RL Innovat Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hunan Huanbaoqiao Ecol & Environm Engn Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hunan Huanbaoqiao Ecol & Environment Engineering Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Ecol & Environm China,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Ecol & Environment China,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Huangshan Ruixing Automot Elect Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Huangshan Ruixing Automot Elect Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Global Hlth Focus Asia,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Global Health Focus Asia,Não cadastrar como instituição de ensino principal.,Alta
Hlth Maintenance Org Africa,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Health Maintenance Org Africa,Não cadastrar como instituição de ensino principal.,Alta
White Mt Sci Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,White Mt Science Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Saveetha Dent Coll & Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Saveetha Dent College & Hospital,Não cadastrar como instituição de ensino principal.,Alta
Cape Herbert Pty Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Cape Herbert Pty Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Vivent SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Vivent SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Beak Consultants GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beak Consultants GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Med Specialist Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Med Specialist Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
PST Transgor Rybnik SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,PST Transgor Rybnik SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Thunder Bay Reg Hlth Res Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Thunder Bay Reg Health Research Institute,Não cadastrar como instituição de ensino principal.,Alta
Natl Fertilizer Regulatory Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,National Fertilizer Regulatory Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Div Hlth Care Policy & Res,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Div Health Care Policy & Research,Não cadastrar como instituição de ensino principal.,Alta
Geol Survey Pakistan,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Geol Survey Pakistan,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Person Centr Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Person Centr Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Lark Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Lark Health,Não cadastrar como instituição de ensino principal.,Alta
Findings Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Findings Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Amber Sparks Educ LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Amber Sparks Educ LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
China Natl Tobacco Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,China National Tobacco Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
ECT Oekotoxikol GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,ECT Oekotoxikol GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ctr Family Hlth Initiat,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Center Family Health Initiat,Não cadastrar como instituição de ensino principal.,Alta
EPAM Syst Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,EPAM Syst Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Red Hat Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Red Hat Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
TELUS Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,TELUS Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
OneCup Product Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,OneCup Product Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hosp La Paz,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hospital La Paz,Não cadastrar como instituição de ensino principal.,Alta
Hosp Virgen Camino,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hospital Virgen Camino,Não cadastrar como instituição de ensino principal.,Alta
Guangdong Tongde Agr Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Guangdong Tongde Agricultural Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Autonomous Intelligent Syst Res Ctr,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Autonomous Intelligent Syst Research Center,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CattleEye Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CattleEye Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Rural Senses Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Rural Senses Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CRNS SMRTS Lab Signals Syst aRtificial Intelligen,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CRNS SMRTS Lab Signals Syst aRtificial Intelligen,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Medio Ambiente,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Medio Ambiente,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
LSU Hlth Sci Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,LSU Health Science Center,Não cadastrar como instituição de ensino principal.,Alta
Microsoft Res Lab,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Microsoft Research Lab,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Microsoft Res Lab Africa,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Microsoft Research Lab Africa,Padrão de empresa privada ou centro de P&D corporativo.,Alta
TCB Avgidis Automat SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,TCB Avgidis Automat SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Energy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Energy,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Graphy Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Graphy Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Unitech3DP Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Unitech3DP Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Japan Meteorol Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Japan Meteorol Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Dept Hidraul & Saneamento EESC USP,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Hidraul & Saneamento EESC USP,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Hangzhou Hope Agr Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hangzhou Hope Agricultural Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
River Basin Agcy Bouregreg & Chaouia,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,River Basin Agency Bouregreg & Chaouia,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Bayer,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bayer,Padrão de empresa privada ou centro de P&D corporativo.,Alta
US UK Fulbright Commiss,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,US UK Fulbright Commission,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Qualcomm Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Qualcomm Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Amer Tower Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Amer Tower Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Calnex Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Calnex Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Shanghai Power Equipment Res Inst Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Shanghai Power Equipment Research Institute Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Jingzhou Yingtuo Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Jingzhou Yingtuo Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Denver Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Denver Health,Não cadastrar como instituição de ensino principal.,Alta
Omnia Grp Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Omnia Grp Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Korea Rural Community Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Korea Rural Community Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Topcon Healthcare Inc,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Topcon Healthcare Inc,Não cadastrar como instituição de ensino principal.,Alta
Live Green Grp Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Live Green Grp Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Asepa Energy SRL,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Asepa Energy SRL,Padrão de empresa privada ou centro de P&D corporativo.,Alta
RHEA Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,RHEA Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Informat Technol,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Informat Technology,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
FarmInnoTech Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,FarmInnoTech Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Mongolia Elect Power Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Mongolia Elect Power Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
BHZP GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,BHZP GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
EVH Select GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,EVH Select GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tianshui Huatian Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tianshui Huatian Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
PowerChina Hubei Elect Engn Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,PowerChina Hubei Elect Engineering Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Vardhman Mahavir Med Coll & Safdarjung Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Vardhman Mahavir Med College & Safdarjung Hospital,Não cadastrar como instituição de ensino principal.,Alta
Ctr Technol & Syst UNINOVA CTS & LASI,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Center Technology & Syst UNINOVA CTS & LASI,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Sci & Technol Dev Agcy NSTDA,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,National Science & Technology Dev Agency NSTDA,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Dept Anim & Dairy Sci,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Anim & Dairy Science,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Hlth Inst Turkey,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Health Institute Turkey,Não cadastrar como instituição de ensino principal.,Alta
UT Sch Publ Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,UT Sch Publ Health,Não cadastrar como instituição de ensino principal.,Alta
Grp Interdisciplinario Invest Sechium edule Mexico,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Grp Interdisciplinario Invest Sechium edule Mexico,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Econ Dev Kabardino Balkarian Republ,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Econ Dev Kabardino Balkarian Republ,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Chinese Acad Sci & Minist Water Resources,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Chinese Acad Science & Ministry Water Resources,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Shanghai Lingang Fengxian Econ Dev Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Shanghai Lingang Fengxian Econ Dev Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Joint FAO IAEA Div Nucl Techn Food & Agr,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Joint FAO IAEA Div Nucl Techn Food & Agricultural,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Baptist Christian Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Baptist Christian Hospital,Não cadastrar como instituição de ensino principal.,Alta
Qure Ai Technol Pvt Ltd Raheja Platinum,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Qure Ai Technology Pvt Ltd Raheja Platinum,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Qure ai Technol Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Qure ai Technology Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
InnovaSpace Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,InnovaSpace Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hosp Mar Med Res Inst IMIM,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hospital Mar Med Research Institute IMIM,Não cadastrar como instituição de ensino principal.,Alta
Natl Inst Hlth & Care Res Collaborat West NIHR ARC,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute Health & Care Research Collaborat West NIHR ARC,Não cadastrar como instituição de ensino principal.,Alta
Leonard Davis Inst Hlth Econ,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Leonard Davis Institute Health Econ,Não cadastrar como instituição de ensino principal.,Alta
Cochrane Renal Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Cochrane Renal Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Water Works Dept,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Water Works Department,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Hangzhou Juxianyuan Agr Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hangzhou Juxianyuan Agricultural Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hangzhou Fenghui Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hangzhou Fenghui Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CEC Huada Elect Design Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CEC Huada Elect Design Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Guangzhou Joinken Network Technol Dev Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Guangzhou Joinken Network Technology Dev Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Guangzhou Liding Ecol Agr Dev Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Guangzhou Liding Ecol Agricultural Dev Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
