nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Tokyo Natl Res Inst Cultural Properties,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Tokyo National Research Institute Cultural Properties,Tokyo Natl Res Inst Cultural Properties,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
State Key Lab Crop Gene Explorat & Utilizat Southw,,revisar_manualmente,revisao_manual,Indefinido,State Key Lab Crop Gene Explorat & Utilizat Southw,,Não há padrão suficiente para corrigir automaticamente.,Baixa
ICAR Cent Inst Brackishwater Aquaculture ICAR CIBA,,revisar_manualmente,revisao_manual,Indefinido,ICAR Cent Institute Brackishwater Aquaculture ICAR CIBA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Southwestern Oklahoma State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Southwestern Oklahoma State University,Southwestern Oklahoma State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Uni Moncton,,revisar_manualmente,revisao_manual,Indefinido,Uni Moncton,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Int Inst Technol & Management IITG,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Int Institute Technology & Management IITG,Int Inst Technol & Management IITG,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Heze Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Heze University,Heze Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Rizhao Jiacheng Anim Hlth Prod Co Ltd,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Rizhao Jiacheng Anim Health Prod Co Ltd,,Não cadastrar como instituição de ensino principal.,Alta
Australian Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Australian University,Australian Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Eastern Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Eastern Institute Technology,Eastern Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Virtusa Corp,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Virtusa Corp,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Agr Sci & Nat Resources Sari,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Agricultural Science & Nat Resources Sari,Univ Agr Sci & Nat Resources Sari,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
VNU Univ Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,VNU University Science,VNU Univ Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Catolica Norte,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Catolica Norte,Univ Catolica Norte,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ANID Millennium Nucleus Data Sci Plant Resilience,,revisar_manualmente,revisao_manual,Indefinido,ANID Millennium Nucleus Data Science Plant Resilience,,Não há padrão suficiente para corrigir automaticamente.,Baixa
AN KOLTSOV INST DEV BIOL,,revisar_manualmente,revisao_manual,Indefinido,AN KOLTSOV Institute DEV BIOL,,Não há padrão suficiente para corrigir automaticamente.,Baixa
ALL RUSSIAN VEGETABLE GROWING RES INST,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ALL RUSSIAN VEGETABLE GROWING Research Institute,ALL RUSSIAN VEGETABLE GROWING RES INST,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Danone,,revisar_manualmente,revisao_manual,Indefinido,Danone,,Não há padrão suficiente para corrigir automaticamente.,Baixa
UNIV MINNESOTA,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University MINNESOTA,UNIV MINNESOTA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Folger Shakespeare Lib,,revisar_manualmente,revisao_manual,Indefinido,Folger Shakespeare Lib,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Axis Inst Higher Educ,,revisar_manualmente,revisao_manual,Indefinido,Axis Institute Higher Educ,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ghani Khan Choudhary Inst Engn & Technol,,revisar_manualmente,revisao_manual,Indefinido,Ghani Khan Choudhary Institute Engineering & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Johns Hopkins Univ Bloomberg Sch Publ Hlth,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,Johns Hopkins University Bloomberg Sch Publ Health,Johns Hopkins Univ Bloomberg Sch Publ Hlth,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Digital Hlth & Gender,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Digital Health & Gender,,Não cadastrar como instituição de ensino principal.,Alta
Oxford Policy Management,,revisar_manualmente,revisao_manual,Indefinido,Oxford Policy Management,,Não há padrão suficiente para corrigir automaticamente.,Baixa
BBC Media Act,,revisar_manualmente,revisao_manual,Indefinido,BBC Media Act,,Não há padrão suficiente para corrigir automaticamente.,Baixa
UNIV NACL AUTONOMA MEXICO,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University NACL AUTONOMA MEXICO,UNIV NACL AUTONOMA MEXICO,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
INST ECOL AC,,revisar_manualmente,revisao_manual,Indefinido,Institute ECOL AC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
State Grid Liaoning Elect Power Supply Co Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,State Grid Liaoning Elect Power Supply Co Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Civil Aviat Univ China,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Civil Aviat University China,Civil Aviat Univ China,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nacl Agr La Molina,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Agricultural La Molina,Univ Nacl Agr La Molina,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Renvico Srl,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Renvico Srl,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Barilla G&R Fratelli SpA,,revisar_manualmente,revisao_manual,Indefinido,Barilla G&R Fratelli SpA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Hosp Tubingen,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Tubingen,Univ Hosp Tubingen,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Univ Hosp Munster,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Munster,Univ Hosp Munster,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Weill Cornell Med,,revisar_manualmente,revisao_manual,Indefinido,Weill Cornell Med,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Weill Bugando Sch Med,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Weill Bugando Sch Med,Weill Bugando Sch Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cluster Excellence EXC 2124 Controlling Microbes,,revisar_manualmente,revisao_manual,Indefinido,Cluster Excellence EXC 2124 Controlling Microbes,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Atma Jaya Catholic Univ Indonesia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Atma Jaya Catholic University Indonesia,Atma Jaya Catholic Univ Indonesia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ManteisBio,,revisar_manualmente,revisao_manual,Indefinido,ManteisBio,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Inst Hlth Res Epidemiol Surveillance & Training I,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Institute Health Research Epidemiol Surveillance & Training I,,Não cadastrar como instituição de ensino principal.,Alta
Kenya Govt Med Res Ctr,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Kenya Govt Med Research Center,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Hosp Israelita Albert Einstein,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hospital Israelita Albert Einstein,,Não cadastrar como instituição de ensino principal.,Alta
Uganda Virus Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Uganda Virus Research Institute,Uganda Virus Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Kilimanjaro Christian Med Ctr,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Kilimanjaro Christian Med Center,,Não cadastrar como instituição de ensino principal.,Alta
KCMC Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,KCMC University,KCMC Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Julius Kuhn Inst JKI,,revisar_manualmente,revisao_manual,Indefinido,Julius Kuhn Institute JKI,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Bayer AG Laacher Hof,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bayer AG Laacher Hof,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
USTC,,revisar_manualmente,revisao_manual,Indefinido,USTC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Tabiasi Junior High Sch,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tabiasi Junior High Sch,Tabiasi Junior High Sch,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Deutsch Biomasseforschungszentrum gemeinnutzige Gm,,revisar_manualmente,revisao_manual,Indefinido,Deutsch Biomasseforschungszentrum gemeinnutzige Gm,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Hangzhou Vocat & Tech Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hangzhou Vocat & Technology College,Hangzhou Vocat & Tech Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Rwanda UR,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Rwanda UR,Univ Rwanda UR,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Seoul Natl Univ SNU,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Seoul National University SNU,Seoul Natl Univ SNU,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Res Council Philippines,,revisar_manualmente,revisao_manual,Indefinido,National Research Council Philippines,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Agresearch Ltd Lincoln,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Agresearch Ltd Lincoln,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Grasslanz Technol Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Grasslanz Technology Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Grad Univ Adv Technol Kerman,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Grad University Adv Technology Kerman,Grad Univ Adv Technol Kerman,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
AGR CANADA,,revisar_manualmente,revisao_manual,Indefinido,Agricultural CANADA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Zhejiang Wand Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang Wand University,Zhejiang Wand Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ICAR Res Complex North Eastern Hill NEH Reg,,revisar_manualmente,revisao_manual,Indefinido,ICAR Research Complex North Eastern Hill NEH Reg,,Não há padrão suficiente para corrigir automaticamente.,Baixa
ICAR Natl Bur Plant Genet Resources NBPGR,,revisar_manualmente,revisao_manual,Indefinido,ICAR National Bur Plant Genet Resources NBPGR,,Não há padrão suficiente para corrigir automaticamente.,Baixa
INIAV Natl Inst Agr & Vet Res,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,INIAV National Institute Agricultural & Vet Research,INIAV Natl Inst Agr & Vet Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Woodwell Climate Res Ctr,,revisar_manualmente,revisao_manual,Indefinido,Woodwell Climate Research Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Calif Santa Barbara,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif Santa Barbara,Univ Calif Santa Barbara,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Rural Semiarido UFERSA,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Federal Rural Semiarido UFERSA,Univ Fed Rural Semiarido UFERSA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Martin Luther Univ Halle Wittenberg,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Martin Luther University Halle Wittenberg,Martin Luther Univ Halle Wittenberg,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
New Horizon Coll Engn,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,New Horizon College Engineering,New Horizon Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Heilongjiang Eastern Water Saving Equipment Co Lt,,revisar_manualmente,revisao_manual,Indefinido,Heilongjiang Eastern Water Saving Equipment Co Lt,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Acad Mil Med Sci,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Mil Med Science,Acad Mil Med Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Univ Fed Pernambuco UFPE,,adicionar_como_variacao,instituicoes,Universidade,Universidade Federal de Pernambuco,Univ Fed Pernambuco UFPE,Corrigir nome oficial.,Alta
Colegio Mil Recife CMR,,revisar_manualmente,revisao_manual,Indefinido,Colegio Mil Recife CMR,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Sch Informat Technol Engn Math & Phys STEMP,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sch Informat Technology Engineering Math & Phys STEMP,Sch Informat Technol Engn Math & Phys STEMP,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sch Agr Geog Environm Ocean & Nat Sci SAGEONS,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sch Agricultural Geog Environment Ocean & Nat Science SAGEONS,Sch Agr Geog Environm Ocean & Nat Sci SAGEONS,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Scotlands Rural Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Scotlands Rural College,Scotlands Rural Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Matrouh Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Matrouh University,Matrouh Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Anim Prod Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Anim Prod Research Institute,Anim Prod Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Res Inst Anim Prod,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Research Institute Anim Prod,Natl Res Inst Anim Prod,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Univ Trungjoyo Madura,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Trungjoyo Madura,Univ Trungjoyo Madura,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ningbo Polytech,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ningbo Polytech,Ningbo Polytech,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Haitian Int Holdings Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Haitian Int Holdings Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ramnagar Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ramnagar College,Ramnagar Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kalinga Inst Ind Technol KIIT Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kalinga Institute Ind Technology KIIT University,Kalinga Inst Ind Technol KIIT Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
PNG Natl Weather Serv,,revisar_manualmente,revisao_manual,Indefinido,PNG National Weather Serv,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Yamano Bosai,,revisar_manualmente,revisao_manual,Indefinido,Yamano Bosai,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Karlstad Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Karlstad University,Karlstad Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wuchang Univ Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wuchang University Technology,Wuchang Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Govt Bikram Coll Commerce,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Bikram College Commerce,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Univ Split,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Split,Univ Split,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fahad Bin Sultan Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Fahad Bin Sultan University,Fahad Bin Sultan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Coviu Global Pty Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Coviu Global Pty Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Sydney Local Hlth Dist,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Sydney Local Health Dist,,Não cadastrar como instituição de ensino principal.,Alta
Beijing Chasing Future Biotechnol Co Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beijing Chasing Future Biotechnol Co Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Mahtma Phule Krishi Vishawavidyalaya,,revisar_manualmente,revisao_manual,Indefinido,Mahtma Phule Krishi Vishawavidyalaya,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Guodian Nanjing Automat Co Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Guodian Nanjing Automat Co Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Putra Malaysia Bintulu Sarawak Campus,,mover_para_unidades,instituicao_unidades,Unidade/departamento/campus,University Putra Malaysia Bintulu Sarawak Campus,Univ Putra Malaysia Bintulu Sarawak Campus,Parece subunidade de instituição maior.,Média
Univ Tlemcen,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tlemcen,Univ Tlemcen,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Energy Consulting Mali,,revisar_manualmente,revisao_manual,Indefinido,Energy Consulting Mali,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Gyeongnam Natl Univ Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Gyeongnam National University Science & Technology,Gyeongnam Natl Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Seoul,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Seoul,Univ Seoul,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indonesian Inst Sci,,revisar_manualmente,revisao_manual,Indefinido,Indonesian Institute Science,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Istmo,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Istmo,Univ Istmo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UPIITA IPN,,revisar_manualmente,revisao_manual,Indefinido,UPIITA IPN,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Yunan Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Yunan University,Yunan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Velammal Engn Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Velammal Engineering College,Velammal Engn Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
SpermVital AS,,revisar_manualmente,revisao_manual,Indefinido,SpermVital AS,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Geno SA,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Geno SA,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Inland Norway Univ Appl Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Inland Norway University Appl Science,Inland Norway Univ Appl Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Simula Metropolitan Ctr Digital Engn,,revisar_manualmente,revisao_manual,Indefinido,Simula Metropolitan Center Digital Engineering,,Não há padrão suficiente para corrigir automaticamente.,Baixa
8 Mai 1945 Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,8 Mai 1945 University,8 Mai 1945 Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
SA Hlth,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,SA Health,,Não cadastrar como instituição de ensino principal.,Alta
Sonder,,revisar_manualmente,revisao_manual,Indefinido,Sonder,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Intervent Treatment Inst,,revisar_manualmente,revisao_manual,Indefinido,Intervent Treatment Institute,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Imam Abdalrhman Bin Faisal Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Imam Abdalrhman Bin Faisal University,Imam Abdalrhman Bin Faisal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Korea Univ Technol & Educ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Korea University Technology & Educ,Korea Univ Technol & Educ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
China Natl Bamboo Res Ctr,,revisar_manualmente,revisao_manual,Indefinido,China National Bamboo Research Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
MV Lomonosov Moscow State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,MV Lomonosov Moscow State University,MV Lomonosov Moscow State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Res Lobachevsky State Univ Nizhny Novgorod,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Research Lobachevsky State University Nizhny Novgorod,Natl Res Lobachevsky State Univ Nizhny Novgorod,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kazan Fed Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kazan Federal University,Kazan Fed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ural Fed Univ named first President Russia B N Yel,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ural Federal University named first President Russia B N Yel,Ural Fed Univ named first President Russia B N Yel,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
St Petersburg State Forest Engn Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,St Petersburg State Forest Engineering University,St Petersburg State Forest Engn Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Immanuel Kant Baltic Fed Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Immanuel Kant Baltic Federal University,Immanuel Kant Baltic Fed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Omsk State Tech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Omsk State Technology University,Omsk State Tech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
K Minin Nizhny Novgorod State Pedag Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,K Minin Nizhny Novgorod State Pedag University,K Minin Nizhny Novgorod State Pedag Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Res Tomsk Polytech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Research Tomsk Polytech University,Natl Res Tomsk Polytech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
North Caucasus Fed Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,North Caucasus Federal University,North Caucasus Fed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kuban State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kuban State University,Kuban State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Volgograd State Tech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Volgograd State Technology University,Volgograd State Tech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ivanovo State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ivanovo State University,Ivanovo State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lugansk State Pedag Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lugansk State Pedag University,Lugansk State Pedag Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
NG Chernyshevsky Saratov Natl Res State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,NG Chernyshevsky Saratov National Research State University,NG Chernyshevsky Saratov Natl Res State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Vladimir Dahl Lugansk State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Vladimir Dahl Lugansk State University,Vladimir Dahl Lugansk State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
