nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Allameh Tabatabaee Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Allameh Tabatabaee University,Allameh Tabatabaee Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tabriz Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tabriz University,Tabriz Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tirhut Coll Agr,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tirhut College Agricultural,Tirhut Coll Agr,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
RAK Coll Agr,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,RAK College Agricultural,RAK Coll Agr,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
State Univ Southwest Bahia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,State University Southwest Bahia,State Univ Southwest Bahia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fed Univ Southern Bahia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Federal University Southern Bahia,Fed Univ Southern Bahia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indian Council Agr Res Farm Sci Sch,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Indian Council Agricultural Research Farm Science Sch,Indian Council Agr Res Farm Sci Sch,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Galgotias Coll Engn & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Galgotias College Engineering & Technology,Galgotias Coll Engn & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sch Elect & Elect Engn,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sch Elect & Elect Engineering,Sch Elect & Elect Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Guilin Med Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Guilin Med University,Guilin Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Hasanuddin,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Hasanuddin,Univ Hasanuddin,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Veer Surendra Sai Univ Technol VSSUT,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Veer Surendra Sai University Technology VSSUT,Veer Surendra Sai Univ Technol VSSUT,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Oslo Metropolitan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Oslo Metropolitan University,Oslo Metropolitan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Artois,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Artois,Univ Artois,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Quaid I Azam Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Quaid I Azam University,Quaid I Azam Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jenderal Soedirman Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jenderal Soedirman University,Jenderal Soedirman Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sultan Syarif Kasim State Islamic Univ Riau,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sultan Syarif Kasim State Islamic University Riau,Sultan Syarif Kasim State Islamic Univ Riau,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Diponegoro Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Diponegoro University,Diponegoro Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
S Seifullin Kazakh Agro Tech Res Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,S Seifullin Kazakh Agro Technology Research University,S Seifullin Kazakh Agro Tech Res Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Int Engn Technol Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Int Engineering Technology University,Int Engn Technol Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kh Dosmukhamedov Atyrau Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kh Dosmukhamedov Atyrau University,Kh Dosmukhamedov Atyrau Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ West Att,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University West Att,Univ West Att,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Handong Global Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Handong Global University,Handong Global Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ North Carolina Chapel Hill Project China,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University North Carolina Chapel Hill Project China,Univ North Carolina Chapel Hill Project China,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fed Univ Jequitinhonha & Mucuri Valleys,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Federal University Jequitinhonha & Mucuri Valleys,Fed Univ Jequitinhonha & Mucuri Valleys,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CHRIST Deemed be Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,CHRIST Deemed be University,CHRIST Deemed be Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cheikh Anta Diop Univ Dakar UCAD,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cheikh Anta Diop University Dakar UCAD,Cheikh Anta Diop Univ Dakar UCAD,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
JAMK Univ Appl Sci,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,JAMK University Appl Science,JAMK Univ Appl Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Polytech Univ Catalonia UPC,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Polytech University Catalonia UPC,Polytech Univ Catalonia UPC,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wroclaw Univ Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wroclaw University Technology,Wroclaw Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Abertay Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Abertay University,Abertay Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Open Univ Milton Keynes,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Open University Milton Keynes,Open Univ Milton Keynes,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
JSPM Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,JSPM University,JSPM Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fed Univ Piaui UFPI,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Federal University Piaui UFPI,Fed Univ Piaui UFPI,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jiangsu Agr & Anim Husb Sci & Technol Vocat Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jiangsu Agricultural & Anim Husb Science & Technology Vocat College,Jiangsu Agr & Anim Husb Sci & Technol Vocat Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhuhai City Polytech,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhuhai City Polytech,Zhuhai City Polytech,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Business & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Business & Technology,Univ Business & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Gannan Normal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Gannan Normal University,Gannan Normal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Incarnate Word UIW,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Incarnate Word UIW,Univ Incarnate Word UIW,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
S Seifullin Kazakh Agrotech Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,S Seifullin Kazakh Agrotech University,S Seifullin Kazakh Agrotech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Dr NGP Arts & Sci Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dr NGP Arts & Science College,Dr NGP Arts & Sci Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UniSZA Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,UniSZA University,UniSZA Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ly Tu Trong Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ly Tu Trong College,Ly Tu Trong Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
VNU Univ Educ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,VNU University Educ,VNU Univ Educ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ming Chuan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ming Chuan University,Ming Chuan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV DUNDEE,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University DUNDEE,UNIV DUNDEE,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Enna Kore,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Enna Kore,Univ Enna Kore,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Inner Mongolia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Inner Mongolia,Univ Inner Mongolia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Aalen Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Aalen University,Aalen Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Gambia London Sch Hyg & Trop Med,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Gambia London Sch Hyg & Trop Med,Gambia London Sch Hyg & Trop Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sultan Idris Educ Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sultan Idris Educ University,Sultan Idris Educ Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nazi Boni,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nazi Boni,Univ Nazi Boni,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Autonoma Agraria Antonio Narro,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Autonoma Agraria Antonio Narro,Univ Autonoma Agraria Antonio Narro,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bharathiar Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Bharathiar University,Bharathiar Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Centria Univ Appl Sci,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Centria University Appl Science,Centria Univ Appl Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Int La Rioja,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Int La Rioja,Univ Int La Rioja,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Zadar,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Zadar,Univ Zadar,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Excel Coll Engn,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Excel College Engineering,Excel Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
N China Univ Water Conservancy & Elect Power,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,N China University Water Conservancy & Elect Power,N China Univ Water Conservancy & Elect Power,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shih Chien Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shih Chien University,Shih Chien Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nacl San Juan,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl San Juan,Univ Nacl San Juan,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Inst Polytech Paris,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Institute Polytech Paris,Inst Polytech Paris,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
AGR UNIV NORWAY,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Agricultural University NORWAY,AGR UNIV NORWAY,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
BML Munjal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,BML Munjal University,BML Munjal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Queensland Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Queensland University,Queensland Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Peter the Great St Petersburg Polytech Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Peter the Great St Petersburg Polytech University,Peter the Great St Petersburg Polytech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Autonomous Univ Honduras,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Autonomous University Honduras,Natl Autonomous Univ Honduras,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Victor Babes Univ Med & Pharm Timisoara,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Victor Babes University Med & Pharm Timisoara,Victor Babes Univ Med & Pharm Timisoara,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Pendidikan Sultan Idris,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Pendidikan Sultan Idris,Univ Pendidikan Sultan Idris,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Northwest Univ Polit Sci & Law,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Northwest University Polit Science & Law,Northwest Univ Polit Sci & Law,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nebrija Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Nebrija University,Nebrija Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tulsa,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tulsa,Univ Tulsa,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kazan State Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kazan State Agricultural University,Kazan State Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kazan Natl Res Technol Univ KCTI,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kazan National Research Technology University KCTI,Kazan Natl Res Technol Univ KCTI,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sch Elect Engn Comp & Math Sci,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sch Elect Engineering Comp & Math Science,Sch Elect Engn Comp & Math Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Montemorelos,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Montemorelos,Univ Montemorelos,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Agr & Engn Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shandong Agricultural & Engineering University,Shandong Agr & Engn Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Leicester Brookfield,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Leicester Brookfield,Univ Leicester Brookfield,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Polytech Inst Porto IPP,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Polytech Institute Porto IPP,Polytech Inst Porto IPP,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Saitama Med Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Saitama Med University,Saitama Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ibn Sina Natl Coll Med Studies,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ibn Sina National College Med Studies,Ibn Sina Natl Coll Med Studies,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Pingdingshan Polytech Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Pingdingshan Polytech College,Pingdingshan Polytech Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sorbonne Paris Nord,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sorbonne Paris Nord,Univ Sorbonne Paris Nord,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Rissho Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Rissho University,Rissho Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Feng chia Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Feng chia University,Feng chia Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Al Akhawayn Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Al Akhawayn University,Al Akhawayn Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wroclaw Med Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wroclaw Med University,Wroclaw Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Northwest Normal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Northwest Normal University,Northwest Normal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Beijing Univ Chinese Med,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Beijing University Chinese Med,Beijing Univ Chinese Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhejiang Chinese Med Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang Chinese Med University,Zhejiang Chinese Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Life Sci King Mihai I Timisoara,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Life Science King Mihai I Timisoara,Univ Life Sci King Mihai I Timisoara,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
NORTHWESTERN UNIV,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,NORTHWESTERN University,NORTHWESTERN UNIV,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Petr & Energy Studies UPES Energy Acres,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Petroleum & Energy Studies UPES Energy Acres,Univ Petr & Energy Studies UPES Energy Acres,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Miguel Hernandez Univ CIAGRO UMH,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Miguel Hernandez University CIAGRO UMH,Miguel Hernandez Univ CIAGRO UMH,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Komputer Indonesia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Komputer Indonesia,Univ Komputer Indonesia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Negeri Makassar,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Negeri Makassar,Univ Negeri Makassar,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Western Coll Vet Med,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Western College Vet Med,Western Coll Vet Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hanoi Univ Ind,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hanoi University Ind,Hanoi Univ Ind,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Savoie Mt Blanc,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Savoie Mt Blanc,Univ Savoie Mt Blanc,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
MIMER Med Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,MIMER Med College,MIMER Med Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Agron Sci & Vet Med,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Agron Science & Vet Med,Univ Agron Sci & Vet Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tekn Malaysia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tekn Malaysia,Univ Tekn Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tekn Malaysia Melaka,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tekn Malaysia Melaka,Univ Tekn Malaysia Melaka,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ VALAHIA Targoviste,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University VALAHIA Targoviste,Univ VALAHIA Targoviste,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Politen Marche,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Politen Marche,Univ Politen Marche,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
E China Normal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,E China Normal University,E China Normal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jining Med Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jining Med University,Jining Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Banja Luka,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Banja Luka,Univ Banja Luka,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
HIHT Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,HIHT University,HIHT Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Excel Engn Coll,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Excel Engineering College,Excel Engn Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Galway Mayo Inst Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Galway Mayo Institute Technology,Galway Mayo Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Autonoma Peru,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Autonoma Peru,Univ Autonoma Peru,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Privada Norte,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Privada Norte,Univ Privada Norte,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tanjungpura,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tanjungpura,Univ Tanjungpura,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sultan Agung,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Sultan Agung,Univ Sultan Agung,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV S CAROLINA,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University S CAROLINA,UNIV S CAROLINA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV CATOLICA MADRE & MAESTRA,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University CATOLICA MADRE & MAESTRA,UNIV CATOLICA MADRE & MAESTRA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
